env_id,method,n_runs,n_seeds,seeds,missing_seeds,ckpt_step_min,ckpt_step_max,ckpt_step_mean,ckpt_step_median,ckpt_step_std,latest_ckpt_step_min,latest_ckpt_step_max,latest_ckpt_step_mean,latest_ckpt_step_median,latest_ckpt_step_std
Ant-v5,glpe,160,8,"0,1,2,3,4,5,6,7",,0,15000000,4483094,1433600,4884173.919771556,15000000,15000000,15000000,15000000,0.0
Ant-v5,glpe_cache,160,8,"0,1,2,3,4,5,6,7",,0,15000000,4483094,1433600,4884173.919771556,15000000,15000000,15000000,15000000,0.0
Ant-v5,glpe_impact_only,160,8,"0,1,2,3,4,5,6,7",,0,15000000,4483094,1433600,4884173.919771556,15000000,15000000,15000000,15000000,0.0
Ant-v5,glpe_lp_only,160,8,"0,1,2,3,4,5,6,7",,0,15000000,4483094,1433600,4884173.919771556,15000000,15000000,15000000,15000000,0.0
Ant-v5,glpe_nogate,160,8,"0,1,2,3,4,5,6,7",,0,15000000,4483094,1433600,4884173.919771556,15000000,15000000,15000000,15000000,0.0
Ant-v5,icm,160,8,"0,1,2,3,4,5,6,7",,0,15000000,4483094,1433600,4884173.919771556,15000000,15000000,15000000,15000000,0.0
Ant-v5,riac,160,8,"0,1,2,3,4,5,6,7",,0,15000000,4483094,1433600,4884173.919771556,15000000,15000000,15000000,15000000,0.0
Ant-v5,ride,160,8,"0,1,2,3,4,5,6,7",,0,15000000,4483094,1433600,4884173.919771556,15000000,15000000,15000000,15000000,0.0
Ant-v5,rnd,160,8,"0,1,2,3,4,5,6,7",,0,15000000,4483094,1433600,4884173.919771556,15000000,15000000,15000000,15000000,0.0
Ant-v5,vanilla,160,8,"0,1,2,3,4,5,6,7",,0,15000000,4483094,1433600,4884173.919771556,15000000,15000000,15000000,15000000,0.0
BipedalWalker-v3,glpe,160,8,"0,1,2,3,4,5,6,7",,0,7000000,2096534,671744,2280327.321932674,7000000,7000000,7000000,7000000,0.0
BipedalWalker-v3,glpe_cache,160,8,"0,1,2,3,4,5,6,7",,0,7000000,2096534,671744,2280327.321932674,7000000,7000000,7000000,7000000,0.0
BipedalWalker-v3,glpe_impact_only,160,8,"0,1,2,3,4,5,6,7",,0,7000000,2096534,671744,2280327.321932674,7000000,7000000,7000000,7000000,0.0
BipedalWalker-v3,glpe_lp_only,160,8,"0,1,2,3,4,5,6,7",,0,7000000,2096534,671744,2280327.321932674,7000000,7000000,7000000,7000000,0.0
BipedalWalker-v3,glpe_nogate,160,8,"0,1,2,3,4,5,6,7",,0,7000000,2096534,671744,2280327.321932674,7000000,7000000,7000000,7000000,0.0
BipedalWalker-v3,icm,160,8,"0,1,2,3,4,5,6,7",,0,7000000,2096534,671744,2280327.321932674,7000000,7000000,7000000,7000000,0.0
BipedalWalker-v3,riac,160,8,"0,1,2,3,4,5,6,7",,0,7000000,2096534,671744,2280327.321932674,7000000,7000000,7000000,7000000,0.0
BipedalWalker-v3,ride,160,8,"0,1,2,3,4,5,6,7",,0,7000000,2096534,671744,2280327.321932674,7000000,7000000,7000000,7000000,0.0
BipedalWalker-v3,rnd,160,8,"0,1,2,3,4,5,6,7",,0,7000000,2096534,671744,2280327.321932674,7000000,7000000,7000000,7000000,0.0
BipedalWalker-v3,vanilla,160,8,"0,1,2,3,4,5,6,7",,0,7000000,2096534,671744,2280327.321932674,7000000,7000000,7000000,7000000,0.0
HalfCheetah-v5,glpe,160,8,"0,1,2,3,4,5,6,7",,0,15000000,4483094,1433600,4884173.919771556,15000000,15000000,15000000,15000000,0.0
HalfCheetah-v5,glpe_cache,160,8,"0,1,2,3,4,5,6,7",,0,15000000,4483094,1433600,4884173.919771556,15000000,15000000,15000000,15000000,0.0
HalfCheetah-v5,glpe_impact_only,160,8,"0,1,2,3,4,5,6,7",,0,15000000,4483094,1433600,4884173.919771556,15000000,15000000,15000000,15000000,0.0
HalfCheetah-v5,glpe_lp_only,160,8,"0,1,2,3,4,5,6,7",,0,15000000,4483094,1433600,4884173.919771556,15000000,15000000,15000000,15000000,0.0
HalfCheetah-v5,glpe_nogate,160,8,"0,1,2,3,4,5,6,7",,0,15000000,4483094,1433600,4884173.919771556,15000000,15000000,15000000,15000000,0.0
HalfCheetah-v5,icm,160,8,"0,1,2,3,4,5,6,7",,0,15000000,4483094,1433600,4884173.919771556,15000000,15000000,15000000,15000000,0.0
HalfCheetah-v5,riac,160,8,"0,1,2,3,4,5,6,7",,0,15000000,4483094,1433600,4884173.919771556,15000000,15000000,15000000,15000000,0.0
HalfCheetah-v5,ride,160,8,"0,1,2,3,4,5,6,7",,0,15000000,4483094,1433600,4884173.919771556,15000000,15000000,15000000,15000000,0.0
HalfCheetah-v5,rnd,160,8,"0,1,2,3,4,5,6,7",,0,15000000,4483094,1433600,4884173.919771556,15000000,15000000,15000000,15000000,0.0
HalfCheetah-v5,vanilla,160,8,"0,1,2,3,4,5,6,7",,0,15000000,4483094,1433600,4884173.919771556,15000000,15000000,15000000,15000000,0.0
Humanoid-v5,glpe,100,5,"0,1,2,3,4",,0,30000000,8961274,2859008,9772094.883375162,30000000,30000000,30000000,30000000,0.0
Humanoid-v5,glpe_cache,100,5,"0,1,2,3,4",,0,30000000,8961274,2859008,9772094.883375162,30000000,30000000,30000000,30000000,0.0
Humanoid-v5,glpe_impact_only,100,5,"0,1,2,3,4",,0,30000000,8961274,2859008,9772094.883375162,30000000,30000000,30000000,30000000,0.0
Humanoid-v5,glpe_lp_only,100,5,"0,1,2,3,4",,0,30000000,8961274,2859008,9772094.883375162,30000000,30000000,30000000,30000000,0.0
Humanoid-v5,glpe_nogate,100,5,"0,1,2,3,4",,0,30000000,8961274,2859008,9772094.883375162,30000000,30000000,30000000,30000000,0.0
Humanoid-v5,icm,100,5,"0,1,2,3,4",,0,30000000,8961274,2859008,9772094.883375162,30000000,30000000,30000000,30000000,0.0
Humanoid-v5,riac,100,5,"0,1,2,3,4",,0,30000000,8961274,2859008,9772094.883375162,30000000,30000000,30000000,30000000,0.0
Humanoid-v5,ride,100,5,"0,1,2,3,4",,0,30000000,8961274,2859008,9772094.883375162,30000000,30000000,30000000,30000000,0.0
Humanoid-v5,rnd,100,5,"0,1,2,3,4",,0,30000000,8961274,2859008,9772094.883375162,30000000,30000000,30000000,30000000,0.0
Humanoid-v5,vanilla,100,5,"0,1,2,3,4",,0,30000000,8961274,2859008,9772094.883375162,30000000,30000000,30000000,30000000,0.0
MountainCar-v0,glpe,200,10,"0,1,2,3,4,5,6,7,8,9",,0,3000000,920867,294912,998321.8868878714,3000000,3000000,3000000,3000000,0.0
MountainCar-v0,glpe_cache,200,10,"0,1,2,3,4,5,6,7,8,9",,0,3000000,920867,294912,998321.8868878714,3000000,3000000,3000000,3000000,0.0
MountainCar-v0,glpe_impact_only,200,10,"0,1,2,3,4,5,6,7,8,9",,0,3000000,920867,294912,998321.8868878714,3000000,3000000,3000000,3000000,0.0
MountainCar-v0,glpe_lp_only,200,10,"0,1,2,3,4,5,6,7,8,9",,0,3000000,920867,294912,998321.8868878714,3000000,3000000,3000000,3000000,0.0
MountainCar-v0,glpe_nogate,200,10,"0,1,2,3,4,5,6,7,8,9",,0,3000000,920867,294912,998321.8868878714,3000000,3000000,3000000,3000000,0.0
MountainCar-v0,icm,200,10,"0,1,2,3,4,5,6,7,8,9",,0,3000000,920867,294912,998321.8868878714,3000000,3000000,3000000,3000000,0.0
MountainCar-v0,riac,200,10,"0,1,2,3,4,5,6,7,8,9",,0,3000000,920867,294912,998321.8868878714,3000000,3000000,3000000,3000000,0.0
MountainCar-v0,ride,200,10,"0,1,2,3,4,5,6,7,8,9",,0,3000000,920867,294912,998321.8868878714,3000000,3000000,3000000,3000000,0.0
MountainCar-v0,rnd,200,10,"0,1,2,3,4,5,6,7,8,9",,0,3000000,920867,294912,998321.8868878714,3000000,3000000,3000000,3000000,0.0
MountainCar-v0,vanilla,200,10,"0,1,2,3,4,5,6,7,8,9",,0,3000000,920867,294912,998321.8868878714,3000000,3000000,3000000,3000000,0.0
